,method,objective,simulation,MeanGenerateRuntimes,ReachedKnowledgeStep,ReachedKnowledgeStep,MeanGenerateScores
0,ga,knowledge,1,5.706251857571215,103.22338830584708,50.002908551175516,0.10845963530734634
1,ga,knowledge,2,4.1726614251428575,110.60685714285714,49.38802556926725,0.09956279586285714
2,ga,knowledge,4,5.9232125,119.0018115942029,50.87351309159048,0.07778888052536233
3,ga,knowledge,8,4.755735385572139,81.02985074626865,40.426420771152095,0.11196589087064676
4,ga,score,1,5.797088792792793,144.5915915915916,52.38479537361206,0.6656396666666666
5,ga,score,2,4.272969981797497,147.28213879408418,50.68312418319653,0.601191207963595
6,ga,score,4,6.460984734848484,150.4810606060606,50.66592241092271,0.4342118272727272
7,ga,score,8,5.878398296240602,138.80751879699247,53.48242254886931,0.7728746252631579
8,mcts,knowledge,100,0.14446519554545453,124.85672727272727,52.85525479862337,0.10714685100363636
9,mcts,knowledge,200,0.14691751976727271,122.24945454545454,52.76695263937712,0.10649346971272726
10,mcts,knowledge,400,0.14933937459454547,124.58818181818182,52.75433847224979,0.10742804800727272
11,mcts,knowledge,800,0.1502693084181818,123.50563636363637,52.73080756125018,0.10802106267818183
12,mcts,score,100,0.1532964582890909,144.04781818181817,51.288845091393156,0.48630140330909094
13,mcts,score,200,0.1568523343690909,142.964,51.89393002159321,0.4898154416
14,mcts,score,400,0.15823425010545455,140.40363636363637,52.05721307230682,0.49125779850909085
15,mcts,score,800,0.1604369236690909,141.01963636363635,52.01763636894716,0.49129268745454546
16,random,-,-,1.6425866561454544e-06,166.428,43.81320283522403,0.0
17,sampling,-,10,0.623301608483721,185.40353488372094,30.143768316166177,0.13610194815255813
18,sampling,-,15,1.4250307667342799,137.60953346855985,49.84663454046371,0.10670984256592292
19,sampling,-,20,1.3564945902211876,186.32634846720993,29.06960845036812,0.1368773912611564
20,sampling,-,5,0.44867687672050566,136.67240168539325,50.04269112056375,0.10614805874648876
